timestamp,ticker,side,quantity,price,value,pnl_gbp
2022-02-01T00:00:00,AAPL,BUY,5.554619265926131,170.4456344929233,946.7606051473952,
2022-02-01T00:00:00,MSFT,BUY,3.16441207456764,299.9631516274878,949.2070189353861,
2022-02-03T00:00:00,SPY,BUY,1.7795980539557619,426.9889496010904,759.8687037707153,
2022-02-04T00:00:00,MSFT,SELL,3.16441207456764,289.52675387409846,916.1819558695704,-33.02506306581574
2022-02-04T00:00:00,SPY,SELL,1.7795980539557619,421.78895431533846,750.614802279612,-9.253901491103306
2022-02-07T00:00:00,MSFT,BUY,2.898413549648661,295.8658588983531,857.5416143094255,
2022-02-08T00:00:00,MSFT,SELL,2.898413549648661,290.5297365380114,842.0753249576278,-15.466289351797741
2022-02-09T00:00:00,MSFT,BUY,2.9065494994706613,299.441267179592,870.3408652417037,
2022-02-09T00:00:00,SPY,BUY,2.0034372512968495,431.03202101132683,863.5456073958585,
2022-02-11T00:00:00,MSFT,SELL,2.9065494994706613,292.4007047601379,849.8771220654475,-20.46374317625623
2022-02-14T00:00:00,AAPL,SELL,5.554619265926131,163.82253280451872,909.9717969087952,-36.78880823859993
2022-02-14T00:00:00,SPY,SELL,2.0034372512968495,415.7126874373001,832.8542838486107,-30.691323547247748
2022-02-15T00:00:00,AAPL,BUY,5.657715261258372,167.68129531775244,948.69302354682,
2022-02-16T00:00:00,SPY,BUY,2.004939815628744,420.34193621892547,842.7602841038016,
2022-02-18T00:00:00,AAPL,SELL,5.657715261258372,166.22061218448576,940.4288942918744,-8.264129254945601
2022-02-18T00:00:00,SPY,SELL,2.004939815628744,413.26523010123395,828.5719142449384,-14.188369858863211
2022-03-03T00:00:00,MSFT,BUY,3.2163834531105504,293.301425813899,943.3698527615564,
2022-03-04T00:00:00,MSFT,SELL,3.2163834531105504,284.4043111624989,914.7533204163657,-28.616532345190762
2022-03-17T00:00:00,MSFT,BUY,3.2702051302756945,284.00531683747045,928.75564414747,
2022-03-17T00:00:00,SPY,BUY,2.2601192509303085,410.55129848970864,927.8948932110258,
2022-03-21T00:00:00,AAPL,BUY,4.698757778464695,160.36480117579376,753.5153569167052,
2022-04-07T00:00:00,MSFT,SELL,3.2702051302756945,286.6947116949755,937.5505170078201,8.794872860350097
2022-04-12T00:00:00,AAPL,SELL,4.698757778464695,164.45876000826274,772.7518778254831,19.236520908777948
2022-04-12T00:00:00,SPY,SELL,2.2601192509303085,419.99958917032455,949.2491568666712,21.354263655645468
2022-05-05T00:00:00,AAPL,BUY,5.754197273041927,160.69821235484565,924.6892153149654,
2022-05-05T00:00:00,MSFT,BUY,3.3366632289226654,276.5006689243808,922.5896147725014,
2022-05-06T00:00:00,AAPL,SELL,5.754197273041927,152.92769516204422,879.976126474022,-44.71308884094344
2022-05-06T00:00:00,MSFT,SELL,3.3366632289226654,265.5786529254876,886.1465256032892,-36.44308916921216
2022-05-27T00:00:00,SPY,BUY,2.4137654158403974,387.43567295613815,935.178828244377,
2022-05-31T00:00:00,AAPL,BUY,5.717125895600474,146.41734301541155,837.0863833184266,
2022-05-31T00:00:00,MSFT,BUY,3.168428428021911,264.5171263206824,838.103582733113,
2022-06-06T00:00:00,AAPL,SELL,5.717125895600474,144.12512244594333,823.9814697422918,-13.104913576134777
2022-06-07T00:00:00,AAPL,BUY,5.290122702857389,141.7813189386378,750.0405741583522,
2022-06-10T00:00:00,AAPL,SELL,5.290122702857389,137.50843999467065,727.4365202503103,-22.60405390804192
2022-06-10T00:00:00,SPY,SELL,2.4137654158403974,374.31036746061295,903.4974197669384,-31.681408477438595
2022-06-13T00:00:00,MSFT,SELL,3.168428428021911,237.4280805808711,752.2738801231089,-85.829702610004
2022-06-27T00:00:00,AAPL,BUY,6.5736148458497805,140.16070080890722,921.3624636421418,
2022-06-27T00:00:00,MSFT,BUY,3.520188152040467,260.3241488101325,916.3899843314479,
2022-06-29T00:00:00,AAPL,SELL,6.5736148458497805,134.7441794393326,885.7563383542437,-35.60612528789818
2022-06-29T00:00:00,MSFT,SELL,3.520188152040467,249.51690233937896,878.34644334892,-38.043540982527816
2022-06-30T00:00:00,MSFT,BUY,3.5930931690698915,249.4922713735976,896.4489760082051,
2022-07-01T00:00:00,MSFT,SELL,3.5930931690698915,248.35452121829815,892.3609336970904,-4.088042311114691
2022-07-05T00:00:00,AAPL,BUY,6.648613539155053,135.31844963168504,899.6800763186923,
2022-07-05T00:00:00,MSFT,BUY,3.600963143481749,248.62853402748556,895.3021874508734,
2022-07-07T00:00:00,SPY,BUY,2.014741946935999,367.36973822659763,740.1552216400236,
2022-07-13T00:00:00,MSFT,SELL,3.600963143481749,242.34882003722765,872.689168820348,-22.613018630525403
2022-07-14T00:00:00,SPY,SELL,2.014741946935999,355.67813124103543,716.5996506191215,-23.555571020902107
2022-07-18T00:00:00,SPY,BUY,2.2247026415983737,370.4794873688932,824.206694207588,
2022-07-21T00:00:00,MSFT,BUY,2.902793751428723,252.15176471509804,731.9445670267122,
2022-07-25T00:00:00,MSFT,SELL,2.902793751428723,252.82001305672063,733.8843541371768,1.9397871104646356
2022-07-28T00:00:00,MSFT,BUY,2.8336149303296763,261.8189022593452,741.8939504846068,
2022-08-23T00:00:00,MSFT,SELL,2.8336149303296763,268.34454602050783,760.3851120762499,18.491161591643163
2022-08-23T00:00:00,SPY,SELL,2.2247026415983737,393.0824209901605,874.491500342694,50.28480613510601
2022-08-26T00:00:00,SPY,BUY,2.059186692685461,400.0601969674508,823.7986338684991,
2022-08-29T00:00:00,AAPL,SELL,6.648613539155053,158.18556602671674,1051.7146959841346,152.03461966544228
2022-08-29T00:00:00,SPY,SELL,2.059186692685461,382.89595169213067,788.4542484075706,-35.34438546092849
2022-09-13T00:00:00,SPY,BUY,2.3485193448723503,383.30958256775983,900.2099697353294,
2022-09-14T00:00:00,SPY,SELL,2.3485193448723503,375.53697175508626,881.9558428816015,-18.25412685372794
2022-10-05T00:00:00,MSFT,BUY,3.796133815629092,239.2642821315483,908.2792322717901,
2022-10-10T00:00:00,MSFT,SELL,3.796133815629092,226.22517777310546,858.7810472911884,-49.49818498060165
2022-10-18T00:00:00,MSFT,BUY,3.957152933394343,236.58946858970543,936.2207096399616,
2022-10-19T00:00:00,SPY,BUY,2.321413439560478,353.42901973411597,820.4548763414622,
2022-10-20T00:00:00,MSFT,SELL,3.957152933394343,228.86548071666465,905.6557083706559,-30.56500126930564
2022-10-21T00:00:00,SPY,SELL,2.321413439560478,349.0235332916459,810.2279209061106,-10.226955435351556
2022-10-24T00:00:00,AAPL,BUY,6.284861486339813,144.7716114705109,909.869525246365,
2022-10-24T00:00:00,MSFT,BUY,3.8656633335283583,237.09525376136884,916.5304290189251,
2022-10-24T00:00:00,SPY,BUY,2.5393303308027644,360.0380969337808,914.2556597884554,
2022-10-27T00:00:00,MSFT,SELL,3.8656633335283583,224.27403352430747,866.9679080574252,-49.5625209614999
2022-11-03T00:00:00,AAPL,SELL,6.284861486339813,139.44668710440197,876.4031131801346,-33.46641206623042
2022-11-04T00:00:00,SPY,SELL,2.5393303308027644,360.37978084551895,915.1233081090794,0.8676483206239709
2022-11-07T00:00:00,SPY,BUY,2.5037568431260366,361.7813319530078,905.8124855925955,
2022-11-10T00:00:00,SPY,SELL,2.5037568431260366,370.94264800452555,928.7501933486235,22.937707756027976
2022-11-11T00:00:00,AAPL,BUY,6.252619591317244,143.6620917307879,898.2644092855394,
2022-11-11T00:00:00,MSFT,BUY,3.8281519517700615,236.34635078310927,904.7697440440913,
2022-11-11T00:00:00,SPY,BUY,2.393184872299296,378.90732710839507,906.795283239172,
2022-11-29T00:00:00,AAPL,SELL,6.252619591317244,141.87064931153475,887.0632013182005,-11.20120796733886
2022-12-01T00:00:00,AAPL,BUY,5.01508201871487,146.01668114211535,732.2856320282453,
2022-12-07T00:00:00,AAPL,SELL,5.01508201871487,139.80588645966276,701.1379872943475,-31.14764473389789
2022-12-07T00:00:00,SPY,SELL,2.393184872299296,375.61701586675014,898.9209601505111,-7.874323088660958
